Kód obce,Názov obce,Voliči v zozname,Odovzdane obalky,Platné hlasy,ANO 2011,Dělnic.str.sociální spravedl.,Křesť.demokr.unie-Čs.str.lid.,REALISTÉ,Referendum o Evropské unii,SPORTOVCI,SPR-Republ.str.Čsl. M.Sládka,Strana Práv Občanů,Svob.a př.dem.-T.Okamura (SPD),TOP 09
554499,Obec: Aš,9766,4289,4254,1707,3,94,15,10,4,13,10,515,153
554502,Obec: Dolní Žandov,943,532,528,188,4,10,5,0,2,4,1,56,16
554511,Obec: Drmoul,769,486,481,181,3,22,3,0,0,1,1,51,11
554529,Obec: Františkovy Lázně,4700,2905,2886,967,5,75,16,5,11,15,19,328,142
554545,Obec: Hazlov,1239,638,626,234,0,26,0,2,0,1,0,100,10
554553,Obec: Hranice,1677,706,698,289,2,3,1,2,2,2,2,75,14
554481,Obec: Cheb,23954,12225,12153,4189,44,291,70,9,16,31,29,1489,380
538795,Obec: Krásná,474,264,262,138,0,1,1,0,0,0,0,30,7
554596,Obec: Křižovatka,210,118,118,55,0,2,0,0,0,0,0,7,1
554600,Obec: Lázně Kynžvart,1228,613,608,210,1,14,1,0,1,2,2,77,13
554618,Obec: Libá,592,301,297,112,0,2,0,0,0,2,1,37,2
554626,Obec: Lipová,586,299,297,115,4,4,1,1,0,1,1,45,10
554634,Obec: Luby,1809,852,843,346,2,34,1,2,3,2,2,98,18
554642,Obec: Mariánské Lázně,10572,5720,5675,1741,6,198,37,8,6,11,14,538,255
554651,Obec: Milhostov,244,82,82,54,0,0,1,0,1,0,0,5,0
538906,Obec: Milíkov,223,141,141,35,2,6,0,0,0,1,1,19,1
554677,Obec: Mnichov,335,137,135,33,0,8,2,0,0,1,1,17,3
554693,Obec: Nebanice,278,162,159,50,0,1,0,0,1,1,0,20,4
554707,Obec: Nový Kostel,410,221,221,80,1,17,0,0,0,0,8,28,7
539554,Obec: Odrava,185,99,99,34,0,0,0,0,0,1,1,12,2
538922,Obec: Okrouhlá,199,108,107,37,0,2,1,0,0,1,0,15,0
539473,Obec: Ovesné Kladruby,97,52,52,12,0,2,0,1,0,1,0,1,1
554740,Obec: Plesná,1565,723,719,281,0,4,1,0,1,0,4,85,44
538817,Obec: Podhradí,164,79,79,33,0,4,0,1,0,1,2,10,1
538868,Obec: Pomezí nad Ohří,206,132,131,42,0,3,3,0,0,0,0,11,7
577979,Obec: Poustka,122,80,79,23,0,2,0,0,0,0,1,12,0
539538,Obec: Prameny,92,59,57,18,1,1,0,0,0,1,0,14,1
554812,Obec: Skalná,1511,777,770,325,3,18,1,0,1,1,0,107,13
539112,Obec: Stará Voda,389,196,196,60,0,4,1,0,1,1,1,37,6
555631,Obec: Teplá,2365,1058,1046,340,3,50,4,0,1,3,2,128,22
554855,Obec: Trstěnice,301,165,165,60,0,2,1,0,0,0,1,25,1
539023,Obec: Třebeň,326,206,203,79,1,7,0,0,1,0,1,29,2
554880,Obec: Tři Sekery,748,393,384,129,0,14,2,0,1,2,0,38,6
539619,Obec: Tuřany,110,73,73,33,1,0,0,0,1,0,0,5,1
539481,Obec: Valy,384,241,240,100,0,8,3,0,0,0,1,29,10
539279,Obec: Velká Hleďsebe,1816,1039,1027,331,2,28,6,1,2,2,1,100,38
578002,Obec: Velký Luh,127,67,66,20,0,2,0,0,1,1,0,7,0
539376,Obec: Vlkovice,104,72,72,24,0,6,1,0,1,1,0,6,1
539074,Obec: Vojtanov,168,102,102,50,0,1,1,0,0,0,1,16,2
539431,Obec: Zádub-Závišín,274,165,164,49,1,13,1,0,0,0,0,20,7
